OBJECTID,BIOMASS_GRID_ID,MNCPL_SOLID_WASTE_TOTAL_VOL,MNCPL_SOLID_WASTE_ORGANIC_VOL,MNCPL_SOLID_WASTE_PAPER_VOL
246,40619,23788.01187,9515.204748,6184.883086
247,40234,4167.042244,1666.816897,1083.430983
248,39815,763.0876858,305.2350743,198.4027983
249,39407,889.037916,355.6151664,231.1498582
250,38181,18.14344784,7.257379136,4.717296438
251,37779,296.7783027,118.7113211,77.1623587
252,37782,214.6004533,85.8401813,55.79611785
253,37783,12378.63944,4951.455778,3218.446256
254,37784,2830.999635,1132.399854,736.059905
255,37788,83.81362869,33.52545148,21.79154346
256,37790,239.0300192,95.61200769,62.147805
257,37362,2810.560227,1124.224091,730.7456589
258,37363,205.1878401,82.07513606,53.34883844
259,37381,1316.535528,526.6142111,342.2992372
260,37382,11165.82592,4466.330367,2903.114739
261,37383,10.30717119,4.122868477,2.67986451
262,37387,451.7224477,180.6889791,117.4478364
263,37389,228.275035,91.31001401,59.3515091
264,36968,0.839668856,0.335867543,0.218313903
265,36986,328.7829005,131.5131602,85.48355414
266,36987,456.3213118,182.5285247,118.6435411
267,36577,664.6800226,265.872009,172.8168059
268,36589,279.3841601,111.753664,72.63988162
269,36195,342.1108944,136.8443578,88.94883255
270,36196,32.68636205,13.07454482,8.498454133
271,35805,101.7459939,40.69839756,26.45395842
272,45595,1071.776941,428.7107766,278.6620048
273,44785,1244.660193,497.8640772,323.6116501
274,44373,360.6666372,144.2666549,93.77332566
275,44375,147.2627362,58.90509449,38.28831142
276,96028,688.2689166,275.3075666,178.9499183
277,43128,815.2155907,326.0862363,211.9560536
278,96045,572.9315692,229.1726277,148.962208
279,42708,12908.69115,5163.47646,3356.259699
280,42709,22160.14465,8864.057862,5761.63761
281,42711,15428.83722,6171.534887,4011.497677
282,42712,3720.073343,1488.029337,967.2190693
283,42713,480.372228,192.1488912,124.8967793
284,42289,21827.2013,8730.88052,5675.072338
285,42290,21369.15808,8547.663233,5555.981102
286,42291,18759.18104,7503.672418,4877.387072
287,42292,1313.550614,525.4202457,341.5231597
288,42293,9474.935762,3789.974305,2463.483298
289,42295,1818.988446,727.5953783,472.9369959
290,42296,1990.940175,796.3760702,517.6444456
291,42297,1369.375707,547.7502828,356.0376838
292,41866,3367.72127,1347.088508,875.6075302
293,41867,38910.09851,15564.0394,10116.62561
294,41868,68357.55604,27343.02242,17772.96457
295,41869,38739.92629,15495.97052,10072.38083
296,41870,12481.63443,4992.65377,3245.224951
297,41450,75459.10049,30183.64019,19619.36613
298,41451,56253.30398,22501.32159,14625.85904
